year,brand,brand_group,superbowl_ads_dot_com_url,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex
2001,Bud Light,Bud Light,https://superbowl-ads.com/2001-bud-light-otto/,https://www.youtube.com/watch?v=XJEYIR-Cai4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2018,DORITOS,Doritos,https://superbowl-ads.com/2018-doritos-blaze-vs-mtn-dew-ice/,https://www.youtube.com/watch?v=rZh_CbcVe7M,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2001,Budweiser,Budweiser,https://superbowl-ads.com/2001-budweiser-what-are-you-doing/,https://www.youtube.com/watch?v=gtmJEt0w1k4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,DIET COKE,Coca Cola,https://superbowl-ads.com/life-is-short-have-a-diet-coke-because-i-can-diet-coke/,https://www.youtube.com/watch?v=be5DH6jQs38,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2013,Hyundai,Hynudai,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-epic-playdate/,https://www.youtube.com/watch?v=YyKVvAZSAug,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2004,Pepsi,Pepsi,https://superbowl-ads.com/2004-pepsi-bears-find-food/,https://www.youtube.com/watch?v=GzWUUZRli6s,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2018,Kia,Kia,https://superbowl-ads.com/2018-kia-stinger-steven-tyler-big-game-ad-feel-something-again/,https://www.youtube.com/watch?v=9_dE6Z2HK8I,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2018,Pepsi,Pepsi,https://superbowl-ads.com/2018_pepsi_this_is_the_pepsi/,https://www.youtube.com/watch?v=0gHYd67OumQ,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2018,NFL,NFL,https://superbowl-ads.com/touchdown-celebrations-to-come-nfl-super-bowl-lii-commercial/,https://www.youtube.com/watch?v=KUoD-gPDahw,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2010,ETRADE,E-TRADE,https://superbowl-ads.com/hd-exclusive-e-trade-baby-tears-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=LgiYL1Ry2I8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017,NFL,NFL,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-inside-lines/,https://www.youtube.com/watch?v=pvKBdrx4quA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2000,E*TRADE,E-TRADE,https://superbowl-ads.com/2000-etrade-money-out-of-the-wazoo/,https://www.youtube.com/watch?v=oftjwYmlfoA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2007,E*TRADE,E-TRADE,https://superbowl-ads.com/2007-etrade-one-finger/,https://www.youtube.com/watch?v=jaR5-kefxn4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000,Budweiser,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup-game/,https://www.youtube.com/watch?v=loimTUjV92Q,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,DORITOS,Doritos,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-commercial-goat-for-sale/,https://www.youtube.com/watch?v=DoM6IhfY8No,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2013,Budweiser,Budweiser,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-coronation/,https://www.youtube.com/watch?v=AMP9fgyi41M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2007,Doritos,Doritos,https://superbowl-ads.com/2007-doritos-live-the-favor/,https://www.youtube.com/watch?v=kNxgxF-7SfA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
2009,Budweiser,Budweiser,https://superbowl-ads.com/2009-budweiser-clydesdale-plays-fetch/,https://www.youtube.com/watch?v=w_ZEGUX4YnI,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2012,ETRADE,E-TRADE,https://superbowl-ads.com/2012-etrade-fatherhood/,https://www.youtube.com/watch?v=fObt1E6Ij_E,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019,Bud Light,Bud Light,https://superbowl-ads.com/2019-bud-light-medieval-barbers/,https://www.youtube.com/watch?v=hkSQ2Vr41bM,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017,Kia,Kia,https://superbowl-ads.com/2017-kia-super-bowl-51-li-tv-commercial-heros-journey-starring-melissa-mccarthy/,https://www.youtube.com/watch?v=pVxmT2x3Od4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
